,zipcode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate
185,78613,2022-10,110040.7311,543.8412714585633,0.0346,0.036,Condo/Co-op,0.061,0.009,0.066
186,78613,2022-04,110040.7311,493.8764550844589,0.0346,0.036,Multi-Family (2-4 Unit),0.061,0.009,0.066
187,78613,2022-07,110040.7311,520.4899930411716,0.0346,0.036,Multi-Family (2-4 Unit),0.061,0.009,0.066
188,78613,2022-10,110040.7311,543.8412714585633,0.0346,0.036,Multi-Family (2-4 Unit),0.061,0.009,0.066
189,78613,2022-04,110040.7311,493.8764550844589,0.0346,0.036,Single Family Residential,0.061,0.009,0.066
190,78613,2022-07,110040.7311,520.4899930411716,0.0346,0.036,Single Family Residential,0.061,0.009,0.066
191,78613,2022-10,110040.7311,543.8412714585633,0.0346,0.036,Single Family Residential,0.061,0.009,0.066
192,78613,2022-04,110040.7311,493.8764550844589,0.0346,0.036,Townhouse,0.061,0.009,0.066
193,78613,2022-07,110040.7311,520.4899930411716,0.0346,0.036,Townhouse,0.061,0.009,0.066
194,78613,2022-10,110040.7311,543.8412714585633,0.0346,0.036,Townhouse,0.061,0.009,0.066
195,78615,2022-04,50646.7641,493.8764550844589,0.0282,0.006,All Residential,0.032,0.019,0.071
196,78615,2022-07,50646.7641,520.4899930411716,0.0282,0.006,All Residential,0.032,0.019,0.071
197,78615,2022-10,50646.7641,543.8412714585633,0.0282,0.006,All Residential,0.032,0.019,0.071
198,78615,2022-04,50646.7641,493.8764550844589,0.0282,0.006,Condo/Co-op,0.032,0.019,0.071
199,78615,2022-07,50646.7641,520.4899930411716,0.0282,0.006,Condo/Co-op,0.032,0.019,0.071
200,78615,2022-10,50646.7641,543.8412714585633,0.0282,0.006,Condo/Co-op,0.032,0.019,0.071
201,78615,2022-04,50646.7641,493.8764550844589,0.0282,0.006,Multi-Family (2-4 Unit),0.032,0.019,0.071
202,78615,2022-07,50646.7641,520.4899930411716,0.0282,0.006,Multi-Family (2-4 Unit),0.032,0.019,0.071
203,78615,2022-10,50646.7641,543.8412714585633,0.0282,0.006,Multi-Family (2-4 Unit),0.032,0.019,0.071
204,78615,2022-04,50646.7641,493.8764550844589,0.0282,0.006,Single Family Residential,0.032,0.019,0.071
205,78615,2022-07,50646.7641,520.4899930411716,0.0282,0.006,Single Family Residential,0.032,0.019,0.071
206,78615,2022-10,50646.7641,543.8412714585633,0.0282,0.006,Single Family Residential,0.032,0.019,0.071
207,78615,2022-04,50646.7641,493.8764550844589,0.0282,0.006,Townhouse,0.032,0.019,0.071
208,78615,2022-07,50646.7641,520.4899930411716,0.0282,0.006,Townhouse,0.032,0.019,0.071
