ZipCode,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98072,92475.0,106000.0,113000.0,117000.0,117000.0,125750.0,125000.0,174950.0,213990.0,205500.0,207000.0,210000.0,209000.0,217900.0,246000.0,260000.0,274975.0,308750.0,323475.0,316500.0,325000.0,339500.0,399950.0,445000.0,545900.0,550000.0,525000.0,455000.0,460423.5,455000.0,425000.0,502000.0,530000.0,540000.0,655000.0,700000.0,800000.0,757950.0,850000.0,1100000.0,1585000.0
98074,90975.0,117950.0,119500.0,131475.0,137437.0,144500.0,139250.0,166000.0,234750.0,202500.0,206950.0,216950.0,229500.0,242000.0,243000.0,272500.0,318000.0,334990.0,356934.0,368500.0,385000.0,416065.0,450000.0,510000.0,601500.0,628625.0,605000.0,528000.0,540000.0,512500.0,517500.0,580000.0,625000.0,660000.0,749750.0,850000.0,925000.0,900000.0,1013550.0,1382500.0,1780000.0
98075,118225.0,123500.0,118000.0,111450.0,119950.0,127950.0,149950.0,239885.5,305337.5,270000.0,265000.0,290000.0,300000.0,337450.0,350534.5,380855.0,402710.0,424500.0,450000.0,420973.0,475000.0,475000.0,524990.0,589990.0,726125.0,752475.0,703500.0,600000.0,612000.0,585000.0,600000.0,682000.0,701750.0,759000.0,868000.0,989000.0,1050000.0,1028000.0,1169250.0,1560000.0,2113250.0
98077,99786.0,100000.0,112225.0,122000.0,117000.0,126475.0,163000.0,182250.0,289975.0,270000.0,284000.0,299000.0,292500.0,299950.0,317725.0,343358.0,382000.0,404000.0,439500.0,425000.0,461250.0,465000.0,525000.0,599000.0,660000.0,710000.0,630000.0,555000.0,597350.0,558000.0,577250.0,608000.0,619000.0,660444.0,748000.0,845000.0,845000.0,967000.0,1075000.0,1300000.0,1920000.0
98079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305276.0,,,,,,,,632000.0,,,
98083,,,,,,,,,,,,,,,,,,,,340000.0,,,,,,,,505000.0,,,,,,,,,,,,,
98085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092637.0,,,
98092,83500.0,80500.0,78950.0,91650.0,90000.0,91400.0,104000.0,122950.0,142000.0,152850.0,141504.0,144000.0,160123.0,164950.0,174250.0,177000.0,189950.0,200500.0,205000.0,226000.0,230000.0,235000.0,259500.0,312000.0,352500.0,362000.0,319950.0,280975.0,277500.0,235650.0,239900.0,263933.5,285000.0,325000.0,350000.0,384750.0,425000.0,430555.5,495000.0,600000.0,690000.0
98097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303450.0,,,,,,,,,,
98102,121000.0,179500.0,117500.0,132500.0,177100.0,172250.0,160575.0,310250.0,359500.0,290500.0,260000.0,275000.0,267500.0,292750.0,350000.0,365000.0,406725.0,451500.0,535000.0,567000.0,490000.0,560000.0,599500.0,781000.0,738000.0,792500.0,780500.0,694475.0,754536.0,715000.0,752817.5,830500.0,887500.0,975690.0,1130000.0,1397500.0,1500000.0,1298000.0,1575000.0,1500000.0,1618000.0
98103,76250.0,79500.0,70000.0,74750.0,79500.0,87950.0,92000.0,120000.0,165750.0,150000.0,150000.0,150000.0,161250.0,167000.0,174500.0,195000.0,225000.0,267500.0,290000.0,306000.0,319950.0,333400.0,395000.0,435500.0,505000.0,556500.0,535750.0,447250.0,450000.0,454000.0,470000.0,550000.0,599000.0,638000.0,713550.0,815500.0,866350.0,860000.0,889500.0,995250.0,1250000.0
98104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630300.0,,,,,,
98105,120000.0,110000.0,89900.0,87907.5,102250.0,101615.0,134250.0,149250.0,226250.0,239500.0,177000.0,184950.0,182500.0,192475.0,205250.0,230000.0,267500.0,295000.0,345000.0,353000.0,370000.0,394475.0,429950.0,515500.0,570000.0,649500.0,602500.0,569475.0,575000.0,550000.0,595000.0,615000.0,690050.0,752500.0,830000.0,915000.0,1050000.0,989000.0,1175000.0,1135000.0,1315000.0
98106,50000.0,56000.0,57000.0,53500.0,55450.0,60475.0,58000.0,69725.0,92000.0,95000.0,102000.0,97000.0,102500.0,105000.0,105750.0,120000.0,127000.0,142000.0,162500.0,172500.0,182000.0,201000.0,219975.0,260000.0,306747.5,330000.0,300000.0,265000.0,252725.0,199000.0,210000.0,235000.0,283000.0,350000.0,375841.0,470000.0,541750.0,521000.0,559000.0,625000.0,649000.0
98107,77500.0,75750.0,68500.0,76500.0,77500.0,86000.0,88500.0,115000.0,136000.0,142000.0,139725.0,140000.0,149950.0,154500.0,158000.0,175000.0,215000.0,240000.0,269950.0,271000.0,300000.0,332500.0,369000.0,417000.0,469000.0,533000.0,507000.0,420250.0,435000.0,411000.0,450000.0,484500.0,535000.0,655000.0,688888.0,804353.0,810000.0,826000.0,900000.0,1007500.0,1060000.0
98108,52000.0,77000.0,63450.0,65000.0,56750.0,63750.0,67900.0,77000.0,88500.0,107500.0,110000.0,100000.0,105000.0,110000.0,121000.0,134000.0,145000.0,155000.0,185000.0,199950.0,210000.0,220000.0,240000.0,281250.0,317500.0,350000.0,326000.0,295000.0,269500.0,229950.0,231500.0,278000.0,318250.0,335800.0,421000.0,491500.0,525000.0,567000.0,610000.0,679500.0,627000.0
