zipcode,year,unemployment_rate
98074,2016,0.040999999999999995
98074,2017,0.036000000000000004
98074,2018,0.033
98074,2019,0.035
98074,2020,0.032
98074,2021,0.0349
98074,2022,0.0349
98075,2011,0.059000000000000004
98075,2012,0.054000000000000006
98075,2013,0.046
98075,2014,0.043
98075,2015,0.036000000000000004
98075,2016,0.028999999999999998
98075,2017,0.023
98075,2018,0.021
98075,2019,0.016
98075,2020,0.018000000000000002
98075,2021,0.0099
98075,2022,0.0044
98077,2011,0.049
98077,2012,0.049
98077,2013,0.053
98077,2014,0.053
98077,2015,0.045
98077,2016,0.055999999999999994
98077,2017,0.045
98077,2018,0.044000000000000004
98077,2019,0.035
98077,2020,0.05
98077,2021,0.0351
98077,2022,0.0307
98092,2011,0.075
98092,2012,0.09
98092,2013,0.094
98092,2014,0.083
98092,2015,0.084
98092,2016,0.071
98092,2017,0.062
98092,2018,0.057
98092,2019,0.05
98092,2020,0.036000000000000004
98092,2021,0.043
98092,2022,0.0365
98101,2011,0.067
98101,2012,0.064
98101,2013,0.067
98101,2014,0.061
98101,2015,0.055999999999999994
98101,2016,0.049
98101,2017,0.05
98101,2018,0.038
98101,2019,0.036000000000000004
98101,2020,0.027999999999999997
98101,2021,0.032
98101,2022,0.0281
98102,2011,0.057999999999999996
98102,2012,0.052000000000000005
98102,2013,0.054000000000000006
98102,2014,0.046
98102,2015,0.04
98102,2016,0.022000000000000002
98102,2017,0.026000000000000002
98102,2018,0.02
98102,2019,0.027999999999999997
98102,2020,0.033
98102,2021,0.0134
98102,2022,0.0086
98103,2011,0.052000000000000005
98103,2012,0.053
98103,2013,0.055
98103,2014,0.048
98103,2015,0.04
98103,2016,0.033
98103,2017,0.034
98103,2018,0.027999999999999997
98103,2019,0.027999999999999997
98103,2020,0.027999999999999997
98103,2021,0.0253
98103,2022,0.0227
98104,2011,0.11
98104,2012,0.076
98104,2013,0.08800000000000001
98104,2014,0.09
98104,2015,0.07
98104,2016,0.07200000000000001
98104,2017,0.07
98104,2018,0.052000000000000005
98104,2019,0.042
98104,2020,0.05
98104,2021,0.0411
98104,2022,0.0344
98105,2011,0.092
98105,2012,0.08900000000000001
