ZipCode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate,Label
78681,2022-04,113732.7683,493.876455084459,0.0368,0.032,Condo/Co-op,0.055,0.011,0.036,408970.687358416
78681,2022-04,113732.7683,493.876455084459,0.0368,0.032,Multi-Family (2-4 Unit),0.055,0.011,0.036,532892.405389629
78681,2022-04,113732.7683,493.876455084459,0.0368,0.032,Single Family Residential,0.055,0.011,0.036,624190.816326521
78681,2022-04,113732.7683,493.876455084459,0.0368,0.032,Townhouse,0.055,0.011,0.036,449417.680839554
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,All Residential,0.125,0.022,0.047,759833.154406332
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Condo/Co-op,0.125,0.022,0.047,533016.209187036
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Multi-Family (2-4 Unit),0.125,0.022,0.047,759893.064729914
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Single Family Residential,0.125,0.022,0.047,1191524.83184274
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Townhouse,0.125,0.022,0.047,597758.180067271
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,All Residential,0.14,0.009,0.033,450420.770629128
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Condo/Co-op,0.14,0.009,0.033,356582.473060817
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Multi-Family (2-4 Unit),0.14,0.009,0.033,486012.844470757
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Single Family Residential,0.14,0.009,0.033,478419.955073693
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Townhouse,0.14,0.009,0.033,422917.787510717
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,All Residential,0.143,0.005,0.023,788627.119433972
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,Condo/Co-op,0.143,0.005,0.023,498408.685094215
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,Multi-Family (2-4 Unit),0.143,0.005,0.023,733291.789373975
