ZipCode,Condition,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98011,5,81500.0,112000.0,86750.0,98000.0,93500.0,91500.0,123250.0,130000.0,150250.0,212675.0,165000.0,196500.0,138000.0,173700.0,169000.0,173000.0,206500.0,233500.0,220000.0,249000.0,265500.0,285000.0,286500.0,330000.0,406000.0,429725.0,352500.0,343250.0,372475.0,339000.0,337995.5,379000.0,410900.0,470000.0,540000.0,654500.0,689000.0,672500.0,772540.0,1000000.0,1587500.0
98014,1,,,,,,,,,119950.0,,,,,,240000.0,,292000.0,,,,,,60000.0,,,275000.0,,,,,,,,,,,,885000.0,,,
98014,2,,,,,,,82500.0,135000.0,,,225000.0,134250.0,,,230000.0,205000.0,,499950.0,139900.0,233500.0,180000.0,,750000.0,,,,,,,,,156000.0,175883.5,161615.5,,150000.0,,,650000.0,,
98014,3,59950.0,64000.0,68000.0,62500.0,68025.0,89950.0,107950.0,106000.0,131250.0,153700.0,158995.0,165000.0,209975.0,214735.0,193550.0,196000.0,239950.0,274500.0,280000.0,279250.0,287000.0,305950.0,362000.0,372250.0,433500.0,448000.0,426200.0,403000.0,409500.0,375000.0,345000.0,412845.0,446500.0,475000.0,595470.0,634975.0,700000.0,688050.0,774500.0,890000.0,859000.0
98014,4,51800.0,76150.0,50000.0,94750.0,89500.0,74950.0,69000.0,155500.0,140975.0,119950.0,146950.0,121500.0,136975.0,138750.0,195000.0,178500.0,177000.0,199949.5,236225.0,226000.0,267500.0,201250.0,262000.0,337450.0,385000.0,332725.0,320000.0,304450.0,255000.0,203500.0,290000.0,328000.0,393475.0,388000.0,384975.0,585000.0,622500.0,547000.0,705050.0,755000.0,769750.0
98014,5,,,,87000.0,,57500.0,97000.0,110000.0,,120000.0,107500.0,131500.0,138000.0,128950.0,126500.0,152000.0,75511.5,,162000.0,227000.0,212500.0,339500.0,234349.0,281000.0,336425.0,338500.0,303000.0,270000.0,323000.0,272277.5,219950.0,248250.5,325000.0,330000.0,377500.0,525750.0,484000.0,545000.0,554000.0,761500.0,836000.0
98017,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,,
98019,1,,,,,,,,,,,,,,,,,65000.0,,,,,,,,,,,,,,,,266750.0,,,,,,,,
98019,2,,,,,124000.0,70000.0,,,,,,42261.0,,,167000.0,191000.0,77588.0,269500.0,158750.0,230000.0,125000.0,,282800.0,490000.0,405950.0,280000.0,,180000.0,260000.0,174950.0,159460.0,,150000.0,,70000.0,425000.0,,,335000.0,401150.0,
98019,3,62000.0,78500.0,55975.0,58400.0,63864.0,84950.0,94100.0,104800.0,170000.0,130000.0,176750.0,161000.0,177500.0,183553.5,201000.0,232475.0,234250.0,258000.0,275000.0,255000.0,295435.0,342015.0,330000.0,383650.0,437475.0,490000.0,434000.0,369662.0,384500.0,315000.0,320000.0,395000.0,400000.0,453000.0,485000.0,569000.0,599950.0,629750.0,690000.0,825500.0,927500.0
