zipcode,year,median_income
78731,2017,89099
78732,2017,142612
78733,2017,136563
78734,2017,107827
78735,2017,102551
78736,2017,107467
78737,2017,127136
78738,2017,123836
78739,2017,147736
78741,2017,39049
78742,2017,33182
78744,2017,47073
78745,2017,60567
78746,2017,136138
78747,2017,79500
78748,2017,74176
78749,2017,92313
78750,2017,81061
78751,2017,54129
78752,2017,41486
78753,2017,45983
78754,2017,64114
78756,2017,73578
78757,2017,65709
78758,2017,50018
78759,2017,76749
78953,2017,71111
78957,2017,53431
76527,2018,57734
76530,2018,47917
76537,2018,68790
76573,2018,-1
76574,2018,51613
76578,2018,67976
78602,2018,63160
78605,2018,62650
78608,2018,110536
78610,2018,79318
78611,2018,57390
78612,2018,70795
78613,2018,101832
78615,2018,47500
78616,2018,53220
78617,2018,54940
78619,2018,131613
78620,2018,101236
78621,2018,62862
78622,2018,39844
78626,2018,66823
78628,2018,88564
78633,2018,78207
78634,2018,76468
78640,2018,72474
78641,2018,94685
78641,2018,94685
78642,2018,97316
78644,2018,57135
78645,2018,76396
78648,2018,47279
78650,2018,63750
78652,2018,82328
78653,2018,69107
78654,2018,56992
78655,2018,63407
78656,2018,41152
78659,2018,66196
78660,2018,83499
78661,2018,38750
78662,2018,79406
78664,2018,72467
78665,2018,96049
78666,2018,40652
78669,2018,109963
78676,2018,71014
78681,2018,103681
78701,2018,107190
78702,2018,59705
78703,2018,105207
78704,2018,70511
78705,2018,19188
78712,2018,-1
78717,2018,110085
78719,2018,58917
78721,2018,44076
78722,2018,71340
78723,2018,54707
78724,2018,45887
78725,2018,65345
78726,2018,77935
78727,2018,78542
78728,2018,55099
78729,2018,76832
78730,2018,112333
78731,2018,94048
78732,2018,156599
78733,2018,154543
78734,2018,115458
78735,2018,97636
78736,2018,109012
78737,2018,132245
78738,2018,130699
78739,2018,150000
78741,2018,41852
78742,2018,38958
78744,2018,49633
78745,2018,62265
78746,2018,139951
78747,2018,81184
78748,2018,77700
78749,2018,98953
78750,2018,91585
78751,2018,59926
78752,2018,45644
78753,2018,49065
78754,2018,67224
78756,2018,82705
78757,2018,70489
78758,2018,53547
78759,2018,81066
78953,2018,73214
78957,2018,54152
76527,2019,54940
76530,2019,55938
76537,2019,79773
76573,2019,-1
76574,2019,54060
76578,2019,70406
78602,2019,63592
78605,2019,64769
78608,2019,112611
78610,2019,80256
78611,2019,58199
78612,2019,69213
78613,2019,104308
78615,2019,54861
78616,2019,54870
78617,2019,62179
78619,2019,132568
78620,2019,108570
78621,2019,72500
78622,2019,58864
78626,2019,71638
78628,2019,95238
78633,2019,80117
78634,2019,84237
78640,2019,75689
78641,2019,100562
78641,2019,100562
78642,2019,89213
78644,2019,57637
78645,2019,80179
78648,2019,47854
78650,2019,60515
78652,2019,86404
78653,2019,73496
78654,2019,54034
78655,2019,62386
78656,2019,61913
78659,2019,65345
78660,2019,88204
78661,2019,39531
78662,2019,79792
78664,2019,75766
78665,2019,95932
78666,2019,44159
78669,2019,121118
78676,2019,77028
78681,2019,107912
78701,2019,122182
78702,2019,65689
78703,2019,108548
78704,2019,75233
78705,2019,20326
78712,2019,-1
78717,2019,112590
78719,2019,64167
78721,2019,46591
78722,2019,72428
78723,2019,59197
78724,2019,50625
78725,2019,59949
78726,2019,77384
78727,2019,80758
78728,2019,57590
78729,2019,80742
78730,2019,124063
78731,2019,94851
78732,2019,167604
78733,2019,184500
78734,2019,117604
78735,2019,98906
78736,2019,103287
78737,2019,142411
78738,2019,129907
78739,2019,162274
78741,2019,45835
78742,2019,52917
78744,2019,52345
78745,2019,64626
78746,2019,151801
78747,2019,82811
78748,2019,76909
78749,2019,105734
78750,2019,102130
78751,2019,64340
78752,2019,48454
78753,2019,51053
78754,2019,72752
78756,2019,82535
78757,2019,76716
78758,2019,55074
78759,2019,85555
78953,2019,70069
78957,2019,58446
76527,2020,65750
76530,2020,57344
76537,2020,79625
76573,2020,-1
76574,2020,58631
76578,2020,60833
78602,2020,65618
78605,2020,59224
78608,2020,108913
78610,2020,84114
78611,2020,65130
78612,2020,71205
78613,2020,107983
78615,2020,70833
78616,2020,55337
78617,2020,64117
78619,2020,136779
78620,2020,110986
78621,2020,80100
78622,2020,55536
78626,2020,80152
78628,2020,97494
78633,2020,81571
78634,2020,90843
78640,2020,74414
78641,2020,105096
78641,2020,105096
78642,2020,97204
78644,2020,62811
78645,2020,83388
78648,2020,52884
78650,2020,54643
78652,2020,88243
78653,2020,85544
78654,2020,57087
78655,2020,49417
78656,2020,72637
78659,2020,76505
78660,2020,93819
78661,2020,41042
78662,2020,85934
78664,2020,77679
78665,2020,101410
78666,2020,45660
78669,2020,133673
78676,2020,76094
78681,2020,109246
78701,2020,127782
78702,2020,72906
78703,2020,108065
78704,2020,78861
78705,2020,23509
78712,2020,-1
78717,2020,117803
78719,2020,49917
78721,2020,55359
78722,2020,75274
78723,2020,72764
78724,2020,58095
78725,2020,74205
78726,2020,88750
78727,2020,83603
78728,2020,62223
78729,2020,74782
78730,2020,113614
78731,2020,85586
78732,2020,175118
78733,2020,171027
78734,2020,114709
78735,2020,100000
78736,2020,97184
78737,2020,134545
78738,2020,117371
78739,2020,169023
78741,2020,52048
78742,2020,59792
78744,2020,62905
78745,2020,68669
78746,2020,151488
78747,2020,84098
78748,2020,88688
78749,2020,102303
78750,2020,100489
78751,2020,61735
78752,2020,49214
78753,2020,53797
78754,2020,77377
78756,2020,84779
78757,2020,77560
78758,2020,60769
78759,2020,87080
78953,2020,74456
78957,2020,63036
